,Price,Open,High,Low,,
02-12-2025,"2,190.80","2,147.90","2,215.00","2,111.10",,
02-11-2025,"2,166.30","2,268.00","2,270.00","2,152.50",,
02-10-2025,"2,268.30","2,298.30","2,299.00","2,222.60",,
02-07-2025,"2,298.30","2,321.00","2,343.55","2,290.20",,
02-06-2025,"2,329.15","2,390.00","2,398.00","2,320.00",,
02-05-2025,"2,381.75","2,373.95","2,414.00","2,362.10",,
02-04-2025,"2,353.30","2,379.80","2,403.60","2,311.00",,
02-03-2025,"2,334.40","2,369.45","2,369.45","2,275.00",,
02-01-2025,"2,402.80","2,415.00","2,557.35","2,358.60",,
01/31/2025,"2,392.70","2,434.00","2,505.50","2,360.10",,
01/30/2025,"2,197.10","2,226.00","2,257.75","2,145.00",,
01/29/2025,"2,207.55","2,115.10","2,222.00","2,087.40",,
01/28/2025,"2,091.95","2,208.80","2,230.80","2,030.00",,
01/27/2025,"2,196.15","2,215.00","2,268.00","2,026.00",,
01/24/2025,"2,241.70","2,369.95","2,394.40","2,207.00",,
01/23/2025,"2,343.40","2,435.90","2,464.30","2,317.85",,
01/22/2025,"2,425.10","2,680.00","2,680.00","2,362.25",,
01/21/2025,"2,673.40","2,674.55","2,721.00","2,591.10",,
01/20/2025,"2,634.60","2,620.90","2,667.45","2,611.00",,
01/17/2025,"2,605.30","2,656.00","2,656.00","2,595.00",,
01/16/2025,"2,648.50","2,650.00","2,683.95","2,630.05",,
01/15/2025,"2,609.90","2,655.00","2,684.90","2,590.00",,
01/14/2025,"2,617.10","2,520.00","2,635.00","2,493.10",,
01/13/2025,"2,487.20","2,552.25","2,648.00","2,475.00",,
